CATEGORÍA;NOMBRE;DEFINICION
PATRONALES;Confebask;Defienden los intereses de las empresas. La madre de las tres patronales de provincia. 
PATRONALES;Adegi;Defienden los intereses de las empresas. Patronal de Gipuzkoa. 
PATRONALES;Cebek;Defienden los intereses de las empresas. Patronal de Bizkaia.
PATRONALES;SEA;Defienden los intereses de las empresas. Patronal de Álava.
AGENCIAS DESARROLLO;SPRI;Pone la estrategia y gran parte del dinero de los BIC, y los BIC son los brazos ejecutores sobre los terrenos. 
AGENCIAS DESARROLLO;SPRILUR;SPRI también se encarga de gestionar polígonos industriales y pabellones. Si una empresa grande (como Mercedes o una multinacional) quiere venir a Euskadi y necesita terrenos, habla con SPRI (a través de su sociedad Sprilur).
AGENCIAS DESARROLLO;Basque Trade & Investment;Las Cámaras te ayudan con misiones comerciales puntuales o papeleo. SPRI tiene oficinas propias del Gobierno Vasco en el extranjero (en México, Alemania, China, USA, etc.) para ayudar a las empresas vascas a implantarse allí permanentemente.
AGENCIAS DESARROLLO;BEAZ;"En Bizkaia, BEAZ es la entidad que gestiona el BIC. Es decir, BEAZ es la organización (el ""jefe"") y el BIC es la incubadora (el edificio/programa)."
AGENCIAS DESARROLLO;BIC Gipuzkoa;Incubadoras físicas para startups de Gipuzkoa.El edificio y el ecosistema donde nacen las startups tecnológicas. 
AGENCIAS DESARROLLO;BIC Bizkaia;Incubadoras físicas para startups de Bizkaia.El edificio y el ecosistema donde nacen las startups tecnológicas.
AGENCIAS DESARROLLO;BIC Alava;Incubadoras físicas para startups de Alava.El edificio y el ecosistema donde nacen las startups tecnológicas.
AGENCIAS DESARROLLO;Innobasque;"Innobasque es una asociación privada sin ánimo de lucro que representa un modelo de colaboración público-privada; es un punto de encuentro donde el Gobierno se sienta en la misma mesa con universidades y grandes empresas (como Iberdrola o Petronor) para consensuar estrategias."
AGENCIAS DESARROLLO;Eusko Ganberak;El pasaporte para vender fuera y escuela de negocios. Engloba las cámaras de Gipuzkoa, Bizkaia, Alaba. 
AGENCIAS DESARROLLO;Camara de Gipuzkoa;El pasaporte para vender fuera y escuela de negocios. Gipuzkoa. 
AGENCIAS DESARROLLO;Camara de Bilbao;El pasaporte para vender fuera y escuela de negocios. Bizkaia. 
